x,y,X,Y,r,g,b
11,6,11,6,15,183,154
139,7,139,7,15,183,154
78,8,78,8,15,183,154
60,11,60,11,15,183,154
62,11,62,11,15,183,154
63,11,63,11,15,183,154
64,11,64,11,15,183,154
65,11,65,11,15,183,154
67,11,67,11,15,183,154
72,11,72,11,15,183,154
51,12,51,12,15,183,154
53,12,53,12,15,183,154
54,12,54,12,15,183,154
56,12,56,12,15,183,154
57,12,57,12,15,183,154
58,12,58,12,15,183,154
59,12,59,12,15,183,154
60,12,60,12,15,183,154
61,12,61,12,15,183,154
62,12,62,12,15,183,154
66,12,66,12,15,183,154
52,13,52,13,15,183,154
53,13,53,13,15,183,154
54,13,54,13,15,183,154
55,13,55,13,15,183,154
62,13,62,13,15,183,154
64,13,64,13,15,183,154
47,14,47,14,15,183,154
49,14,49,14,15,183,154
51,14,51,14,15,183,154
52,14,52,14,15,183,154
53,14,53,14,15,183,154
54,14,54,14,15,183,154
55,14,55,14,15,183,154
57,14,57,14,15,183,154
59,14,59,14,15,183,154
60,14,60,14,15,183,154
63,14,63,14,15,183,154
47,15,47,15,15,183,154
48,15,48,15,15,183,154
49,15,49,15,15,183,154
50,15,50,15,15,183,154
51,15,51,15,15,183,154
55,15,55,15,15,183,154
135,15,135,15,15,183,154
44,16,44,16,15,183,154
45,16,45,16,15,183,154
46,16,46,16,15,183,154
47,16,47,16,15,183,154
48,16,48,16,15,183,154
52,16,52,16,15,183,154
41,17,41,17,15,183,154
43,17,43,17,15,183,154
44,17,44,17,15,183,154
45,17,45,17,15,183,154
46,17,46,17,15,183,154
48,17,48,17,15,183,154
50,17,50,17,15,183,154
40,18,40,18,15,183,154
42,18,42,18,15,183,154
43,18,43,18,15,183,154
44,18,44,18,15,183,154
45,18,45,18,15,183,154
46,18,46,18,15,183,154
48,18,48,18,15,183,154
90,18,90,18,15,183,154
91,18,91,18,15,183,154
38,19,38,19,15,183,154
40,19,40,19,15,183,154
41,19,41,19,15,183,154
42,19,42,19,15,183,154
43,19,43,19,15,183,154
46,19,46,19,15,183,154
87,19,87,19,15,183,154
89,19,89,19,15,183,154
90,19,90,19,15,183,154
91,19,91,19,15,183,154
92,19,92,19,15,183,154
36,20,36,20,15,183,154
38,20,38,20,15,183,154
39,20,39,20,15,183,154
40,20,40,20,15,183,154
44,20,44,20,15,183,154
87,20,87,20,15,183,154
88,20,88,20,15,183,154
89,20,89,20,15,183,154
90,20,90,20,15,183,154
91,20,91,20,15,183,154
92,20,92,20,15,183,154
93,20,93,20,15,183,154
94,20,94,20,15,183,154
34,21,34,21,15,183,154
36,21,36,21,15,183,154
37,21,37,21,15,183,154
38,21,38,21,15,183,154
39,21,39,21,15,183,154
41,21,41,21,15,183,154
42,21,42,21,15,183,154
74,21,74,21,15,183,154
85,21,85,21,15,183,154
86,21,86,21,15,183,154
87,21,87,21,15,183,154
91,21,91,21,15,183,154
92,21,92,21,15,183,154
93,21,93,21,15,183,154
94,21,94,21,15,183,154
95,21,95,21,15,183,154
35,22,35,22,15,183,154
37,22,37,22,15,183,154
38,22,38,22,15,183,154
39,22,39,22,15,183,154
71,22,71,22,15,183,154
72,22,72,22,15,183,154
73,22,73,22,15,183,154
74,22,74,22,15,183,154
75,22,75,22,15,183,154
85,22,85,22,15,183,154
86,22,86,22,15,183,154
87,22,87,22,15,183,154
89,22,89,22,15,183,154
91,22,91,22,15,183,154
92,22,92,22,15,183,154
93,22,93,22,15,183,154
94,22,94,22,15,183,154
95,22,95,22,15,183,154
96,22,96,22,15,183,154
32,23,32,23,15,183,154
34,23,34,23,15,183,154
35,23,35,23,15,183,154
36,23,36,23,15,183,154
37,23,37,23,15,183,154
38,23,38,23,15,183,154
39,23,39,23,15,183,154
41,23,41,23,15,183,154
71,23,71,23,15,183,154
72,23,72,23,15,183,154
73,23,73,23,15,183,154
74,23,74,23,15,183,154
75,23,75,23,15,183,154
76,23,76,23,15,183,154
84,23,84,23,15,183,154
85,23,85,23,15,183,154
86,23,86,23,15,183,154
88,23,88,23,15,183,154
90,23,90,23,15,183,154
92,23,92,23,15,183,154
93,23,93,23,15,183,154
94,23,94,23,15,183,154
95,23,95,23,15,183,154
96,23,96,23,15,183,154
97,23,97,23,15,183,154
98,23,98,23,15,183,154
33,24,33,24,15,183,154
34,24,34,24,15,183,154
35,24,35,24,15,183,154
36,24,36,24,15,183,154
37,24,37,24,15,183,154
38,24,38,24,15,183,154
68,24,68,24,15,183,154
69,24,69,24,15,183,154
70,24,70,24,15,183,154
71,24,71,24,15,183,154
72,24,72,24,15,183,154
73,24,73,24,15,183,154
74,24,74,24,15,183,154
75,24,75,24,15,183,154
76,24,76,24,15,183,154
77,24,77,24,15,183,154
84,24,84,24,15,183,154
85,24,85,24,15,183,154
86,24,86,24,15,183,154
89,24,89,24,15,183,154
94,24,94,24,15,183,154
95,24,95,24,15,183,154
96,24,96,24,15,183,154
97,24,97,24,15,183,154
98,24,98,24,15,183,154
99,24,99,24,15,183,154
31,25,31,25,15,183,154
32,25,32,25,15,183,154
33,25,33,25,15,183,154
34,25,34,25,15,183,154
35,25,35,25,15,183,154
36,25,36,25,15,183,154
38,25,38,25,15,183,154
68,25,68,25,15,183,154
69,25,69,25,15,183,154
70,25,70,25,15,183,154
71,25,71,25,15,183,154
72,25,72,25,15,183,154
77,25,77,25,15,183,154
78,25,78,25,15,183,154
83,25,83,25,15,183,154
84,25,84,25,15,183,154
85,25,85,25,15,183,154
87,25,87,25,15,183,154
88,25,88,25,15,183,154
90,25,90,25,15,183,154
91,25,91,25,15,183,154
93,25,93,25,15,183,154
95,25,95,25,15,183,154
96,25,96,25,15,183,154
97,25,97,25,15,183,154
98,25,98,25,15,183,154
99,25,99,25,15,183,154
101,25,101,25,15,183,154
29,26,29,26,15,183,154
31,26,31,26,15,183,154
32,26,32,26,15,183,154
33,26,33,26,15,183,154
34,26,34,26,15,183,154
35,26,35,26,15,183,154
36,26,36,26,15,183,154
68,26,68,26,15,183,154
69,26,69,26,15,183,154
70,26,70,26,15,183,154
71,26,71,26,15,183,154
72,26,72,26,15,183,154
74,26,74,26,15,183,154
76,26,76,26,15,183,154
78,26,78,26,15,183,154
79,26,79,26,15,183,154
84,26,84,26,15,183,154
85,26,85,26,15,183,154
87,26,87,26,15,183,154
88,26,88,26,15,183,154
89,26,89,26,15,183,154
90,26,90,26,15,183,154
91,26,91,26,15,183,154
94,26,94,26,15,183,154
96,26,96,26,15,183,154
97,26,97,26,15,183,154
98,26,98,26,15,183,154
99,26,99,26,15,183,154
100,26,100,26,15,183,154
29,27,29,27,15,183,154
30,27,30,27,15,183,154
31,27,31,27,15,183,154
32,27,32,27,15,183,154
33,27,33,27,15,183,154
34,27,34,27,15,183,154
37,27,37,27,15,183,154
66,27,66,27,15,183,154
67,27,67,27,15,183,154
68,27,68,27,15,183,154
69,27,69,27,15,183,154
70,27,70,27,15,183,154
71,27,71,27,15,183,154
72,27,72,27,15,183,154
74,27,74,27,15,183,154
77,27,77,27,15,183,154
82,27,82,27,15,183,154
83,27,83,27,15,183,154
85,27,85,27,15,183,154
87,27,87,27,15,183,154
88,27,88,27,15,183,154
89,27,89,27,15,183,154
90,27,90,27,15,183,154
92,27,92,27,15,183,154
95,27,95,27,15,183,154
